applicant_id,application_date,age,gender,education_level,employment_type,marital_status,family_size,number_of_dependents,location_type,monthly_income_inr,spouse_income_inr,monthly_expenses_inr,monthly_savings_inr,monthly_utility_bills_inr,property_value_inr,vehicle_value_inr,total_investments_inr,outstanding_loan_amount_inr,loan_amount_applied_inr,years_current_employment,banking_relationship_years,monthly_business_revenue_inr,daily_mobile_hours,monthly_digital_transactions,avg_transaction_amount_inr,social_media_accounts_count,mobile_app_usage_intensity_score,digital_payment_adoption_score,utility_payment_regularity_score,location_stability_score,mobile_banking_usage_score,payment_reliability_score,financial_health_score,stability_index,timeliness_score,repayment_ability_score,loan_type,interest_rate,probability_of_default,consent_status,city,risk_category
D7184,2024-10-23,52,Female,Graduate,Business Owner,Married,4,2,Tier2,74599,0,30049,41373,10889,1697031,0,0,93502,2000000,21.3,0.5,148741,2.1,10,10814,3,23,33,95,120,88,75,67,90,83,90,personal loan,17.22,0.2102669962463882,Full Consent,Navsari,Medium Risk
F6460,2025-03-07,32,Female,Post Graduate,Salaried,Married,3,1,Tier2,110385,74753,54327,53754,9592,4014879,805062,633942,166960,2000000,27.6,10.6,0,9.0,51,5598,6,89,70,95,120,95,88,95,90,95,90,education loan,11.77,0.03315520397700008,Full Consent,Morbi,Low Risk
C8134,2025-06-06,46,Male,Post Graduate,Professional,Married,5,3,Tier1,132283,88764,54564,76732,15286,5048106,427298,1133950,271478,5000000,19.8,28.0,0,5.3,34,2862,3,62,62,95,120,95,75,88,90,95,83,business loan,13.92,0.11386589022374116,Full Consent,Surendranagar,Low Risk
E4769,2024-10-13,35,Female,Post Graduate,Business Owner,Married,3,1,Tier2,81133,20794,31508,47845,19936,2516650,507208,588495,218319,1500000,30.6,12.8,179426,5.4,29,6949,5,72,64,95,120,95,89,95,90,95,90,auto loan,11.69,0.03521624745640198,Full Consent,Anand,Low Risk
F3152,2025-04-21,45,Male,Post Graduate,Salaried,Single,1,0,Tier2,60000,0,24299,32869,2560,0,145757,565213,115457,881076,34.1,27.0,0,6.5,41,3512,2,42,47,95,120,89,85,93,90,95,81,gold loan,11.67,0.0566973362633956,Full Consent,Palanpur,Low Risk
C4362,2024-10-28,28,Female,Post Graduate,Business Owner,Married,4,2,Tier1,154723,0,65004,87826,6305,3235731,0,553650,347278,2000000,28.4,10.0,213704,8.3,38,5342,5,80,89,95,120,95,78,95,90,95,90,personal loan,17.9,0.01,Full Consent,Jamnagar,Low Risk
D2841,2024-07-09,46,Male,Graduate,Professional,Married,5,3,Tier2,60000,0,15296,43922,22090,1110703,61405,0,165952,4320000,13.2,28.0,0,7.9,27,3572,2,73,69,95,120,87,48,42,75,59,29,business loan,13.29,0.41010978452565744,Full Consent,Valsad,Medium Risk
B6136,2025-06-08,44,Male,Graduate,Professional,Married,4,2,Tier2,60865,0,21969,38722,15004,0,0,0,157421,3321389,31.0,26.0,0,4.6,42,1662,3,61,70,95,120,95,68,43,46,59,35,home loan,8.93,0.2628940763356756,Full Consent,Mehsana,Medium Risk
D6723,2025-06-18,55,Female,Post Graduate,Professional,Married,4,2,Metro,95550,45380,40221,54685,23125,5767633,316602,1816536,208398,5000000,6.1,34.8,0,4.5,20,12905,1,30,56,95,120,87,47,78,75,81,47,business loan,13.98,0.12147277979313659,Full Consent,Surat,Low Risk
B6356,2024-08-31,34,Female,Graduate,Professional,Married,5,3,Tier2,60000,0,28629,28533,13746,828957,0,541130,247916,4320000,29.0,16.0,0,7.5,62,2013,4,78,80,95,120,95,46,42,53,50,13,business loan,13.99,0.6492690494797818,Full Consent,Morbi,High Risk
E5634,2025-04-29,51,Male,Post Graduate,Salaried,Married,4,2,Tier1,70069,28263,30204,39380,22376,3054679,303015,297368,191087,1628389,31.4,33.0,0,3.6,10,12242,1,41,40,95,120,95,94,95,90,95,90,home loan,10.12,0.018529324470046134,Full Consent,Surendranagar,Low Risk
E5935,2025-04-25,47,Male,Post Graduate,Business Owner,Single,1,0,Tier2,95653,0,44093,48400,3910,5804030,291310,1785705,109334,8000000,34.3,29.0,165969,5.8,39,5111,4,57,45,95,120,95,46,55,71,55,19,home loan,10.25,0.5502081456843707,Full Consent,Patan,High Risk
A2166,2025-07-07,43,Female,Graduate,Business Owner,Married,3,1,Tier1,105687,0,39711,65858,25477,5171901,732817,1493450,256909,5000000,16.2,0.5,183875,3.3,30,5924,3,66,78,95,120,95,57,50,73,57,65,business loan,14.38,0.4409936311145874,Full Consent,Rajkot,High Risk
B8381,2024-09-14,33,Male,Professional,Salaried,Single,1,0,Tier2,191526,0,75192,115342,4546,7480815,1114024,1656799,468984,1500000,23.7,15.0,0,6.6,72,7315,6,70,73,95,120,95,95,95,90,95,90,auto loan,11.57,0.10110130936813319,Full Consent,Vapi,Low Risk
C4000,2025-04-14,30,Female,Post Graduate,Professional,Single,1,0,Tier2,136239,0,57615,75322,5300,3342490,145801,813162,165031,1500000,23.1,1.0,0,6.4,37,10409,6,81,87,95,120,95,79,95,89,87,90,auto loan,11.64,0.07621080241936903,Full Consent,Nadiad,Low Risk
F3238,2025-03-06,35,Male,Post Graduate,Salaried,Married,3,1,Tier2,82531,0,31673,49051,19046,3241729,490801,605030,170926,5000000,14.5,17.0,0,6.2,21,6027,5,47,70,95,120,95,55,68,73,66,42,business loan,14.64,0.3415435757239611,Full Consent,Navsari,Medium Risk
F5249,2024-06-04,40,Male,Professional,Salaried,Married,3,1,Tier2,60000,0,16701,41740,14155,0,103004,0,170876,897735,17.3,13.9,0,4.6,33,4596,2,57,61,95,120,95,86,57,59,95,76,personal loan,17.71,0.01,Full Consent,Patan,Low Risk
E9403,2025-06-27,46,Male,Post Graduate,Salaried,Married,2,0,Metro,60000,0,31453,24701,8884,1619928,0,521620,88489,2000000,0.5,5.8,0,5.2,36,2229,3,68,52,95,120,91,30,74,64,59,37,personal loan,17.62,0.4635995420061237,Full Consent,Gandhinagar,High Risk
A5010,2025-01-26,53,Male,Graduate,Salaried,Married,3,1,Tier2,86505,27632,47471,38965,13079,5793197,346209,2527399,44769,1199635,22.8,24.2,0,4.5,13,9413,2,51,48,95,120,95,85,95,90,95,88,business loan,14.35,0.06781030689370277,Full Consent,Patan,Low Risk
F5827,2025-03-30,46,Female,Graduate,Salaried,Married,3,1,Tier2,60000,13647,24534,35106,11581,1899730,0,208995,100692,5561257,0.5,28.0,0,4.6,32,3208,3,45,74,95,120,79,12,34,20,5,5,home loan,9.39,0.8472795063786311,Full Consent,Patan,Very High Risk
A9320,2024-08-03,31,Male,Graduate,Business Owner,Married,3,1,Metro,60000,0,29314,29062,35637,0,0,550383,39917,5760000,19.4,0.5,100534,7.0,54,2506,4,75,90,95,120,95,23,10,5,5,5,home loan,9.38,0.92,Full Consent,Surat,Very High Risk
B4131,2024-07-14,65,Female,Post Graduate,Professional,Single,1,0,Tier2,126678,0,34394,89652,3740,9909170,959476,3750854,407346,8000000,14.4,10.3,0,1.2,10,14932,3,24,40,95,120,79,70,67,90,74,65,home loan,9.93,0.3838127573836673,Full Consent,Porbandar,Medium Risk
D5951,2024-08-08,40,Female,Graduate,Salaried,Married,3,1,Metro,60000,41134,19889,36424,23729,0,254334,418017,187342,4603717,26.6,22.0,0,7.6,28,1725,4,69,70,95,120,95,60,33,49,54,17,home loan,11.36,0.5229325613869984,Full Consent,Gandhinagar,High Risk
D9907,2024-09-19,36,Male,Post Graduate,Business Owner,Married,3,1,Tier2,108618,0,52330,56199,14983,3990757,793980,525493,297905,8000000,20.8,0.5,200843,7.4,31,6283,3,49,63,91,120,95,42,46,53,24,35,home loan,9.75,0.8331257209128886,Full Consent,Patan,Very High Risk
F9347,2024-11-28,30,Male,Post Graduate,Business Owner,Married,4,2,Tier2,63838,37541,23424,36462,15141,0,0,268032,106924,2000000,32.4,12.0,114659,10.9,61,2072,5,65,70,95,120,95,86,53,68,75,66,education loan,12.16,0.10715703368527493,Full Consent,Morbi,Low Risk
F3950,2025-06-25,28,Female,Post Graduate,Salaried,Married,2,0,Tier1,88840,43620,46720,39194,13481,0,0,497573,224334,1715569,29.6,10.0,0,9.2,55,3086,5,70,88,95,120,95,81,77,58,86,77,personal loan,17.49,0.030558697961264147,Full Consent,Jamnagar,Low Risk
A8138,2025-07-10,28,Female,Graduate,Salaried,Married,3,1,Tier2,193231,0,91135,101105,14458,3999520,831010,0,239895,704211,31.7,10.0,0,7.3,71,5854,7,78,84,95,120,95,80,95,90,95,90,personal loan,18.02,0.04839673646714837,Full Consent,Valsad,Low Risk
E5106,2025-07-11,55,Male,Post Graduate,Salaried,Married,4,2,Metro,82179,48090,40596,38433,16864,5377421,548669,1359136,266531,7889184,24.3,25.8,0,4.4,12,5356,2,46,51,95,120,85,40,31,57,43,5,home loan,10.31,0.7028660427786332,Full Consent,Surat,Very High Risk
C2542,2024-06-26,51,Female,Post Graduate,Professional,Single,1,0,Tier2,119436,0,73567,42790,5173,4449890,882670,3063025,354570,8000000,29.6,0.5,0,1.6,10,33152,1,39,39,91,120,87,37,49,66,40,34,home loan,10.24,0.6156005044160213,Full Consent,Vapi,High Risk
A8220,2024-11-28,45,Female,Post Graduate,Professional,Married,5,3,Tier1,60000,16893,35068,24384,24537,0,165254,0,186560,5063825,7.6,11.5,0,3.6,28,5337,4,66,49,95,120,95,45,10,29,29,5,home loan,9.29,0.748256912533492,Full Consent,Bhavnagar,Very High Risk
E4003,2024-11-23,46,Female,Graduate,Salaried,Married,4,2,Tier2,129922,58034,39610,89328,11764,7999286,451576,3281158,339354,5000000,4.3,28.0,0,5.8,35,6640,2,49,51,95,120,90,54,86,74,93,72,business loan,14.15,0.1250963911797494,Full Consent,Valsad,Low Risk
F6145,2025-06-28,32,Female,Graduate,Salaried,Single,1,0,Tier2,60000,0,24815,35116,3339,0,264460,182117,155105,3405695,30.1,1.1,0,10.5,72,589,7,81,77,90,120,95,39,10,27,31,28,business loan,13.77,0.5954753674843118,Full Consent,Valsad,High Risk
A8412,2025-04-26,35,Female,Post Graduate,Salaried,Married,4,2,Tier2,106105,0,43502,61466,5232,2432779,445798,789210,320760,5000000,25.9,0.5,0,7.2,39,5649,5,47,75,89,120,95,53,63,71,51,59,business loan,13.91,0.49965698615553245,Full Consent,Veraval,High Risk
B5429,2024-09-17,30,Male,Graduate,Business Owner,Married,4,2,Metro,60000,0,25803,31278,19592,0,194086,0,132109,4320000,8.6,12.0,112348,11.0,70,801,4,69,90,95,120,95,48,11,27,34,5,business loan,13.49,0.8286345425110628,Full Consent,Vadodara,Very High Risk
F2898,2025-04-09,28,Female,Professional,Professional,Single,1,0,Tier2,103744,0,45104,57575,4497,2425560,0,0,76937,2000000,12.9,10.0,0,8.9,64,1531,7,94,91,95,120,95,86,95,90,95,90,education loan,10.87,0.04404972659437438,Full Consent,Veraval,Low Risk
D4713,2025-05-28,30,Male,Graduate,Salaried,Married,2,0,Tier1,118093,63235,51397,66129,6745,2383093,549488,0,371706,2000000,22.1,12.0,0,6.6,74,2807,6,81,89,95,120,95,72,95,84,95,90,personal loan,17.95,0.08806993560918759,Full Consent,Surendranagar,Low Risk
B1152,2024-10-05,39,Male,Professional,Salaried,Single,1,0,Tier2,88108,0,41646,43522,5281,2440145,449352,1536494,137716,2000000,8.2,21.0,0,3.3,29,7672,3,62,59,95,120,95,82,95,90,95,88,personal loan,17.23,0.12083954807705527,Full Consent,Palanpur,Low Risk
E6175,2024-09-13,28,Male,Graduate,Professional,Married,4,2,Tier1,121620,96114,45976,75626,23796,2857242,196034,0,115008,2000000,27.6,10.0,0,10.1,62,3324,4,79,82,95,120,95,87,95,87,95,90,personal loan,16.37,0.01,Full Consent,Surendranagar,Low Risk
B3641,2025-07-09,53,Male,Graduate,Business Owner,Married,3,1,Tier2,72939,0,25490,44609,9737,3208641,80888,700095,183238,7002144,24.3,0.5,152280,4.4,10,18098,3,21,28,93,120,95,29,10,38,14,9,home loan,10.95,0.92,Full Consent,Porbandar,Very High Risk
A6182,2025-01-25,65,Female,Post Graduate,Salaried,Married,3,1,Tier2,60000,0,29305,28222,2533,2402659,0,323564,220337,4155293,21.8,34.9,0,1.3,14,3220,2,46,38,95,120,66,56,53,80,63,23,home loan,9.92,0.5192911929006856,Full Consent,Palanpur,High Risk
A4463,2025-06-17,51,Female,Post Graduate,Salaried,Single,1,0,Tier2,75588,0,23931,51072,1556,0,148585,626984,228753,759770,7.4,32.8,0,4.1,15,11287,1,31,45,95,120,81,80,85,80,95,76,personal loan,16.22,0.01,Full Consent,Morbi,Low Risk
B1861,2024-12-10,38,Female,Professional,Business Owner,Married,3,1,Tier2,60000,23232,28464,30260,13907,0,0,219236,152381,2000000,0.5,0.5,134824,8.0,37,3879,4,63,50,93,76,95,24,39,5,14,28,personal loan,17.83,0.6611663519987312,Full Consent,Valsad,High Risk
A8562,2025-07-02,28,Male,Post Graduate,Professional,Married,5,3,Tier2,60000,31525,38112,19303,6111,0,278904,514999,106684,525641,20.7,10.0,0,6.9,55,3345,6,86,85,92,120,95,75,76,74,95,66,personal loan,17.58,0.01,Full Consent,Godhra,Low Risk
B1783,2024-10-30,37,Male,Graduate,Salaried,Single,1,0,Tier2,61728,0,19374,38590,4240,0,0,0,34404,2000000,23.6,5.6,0,6.6,20,6913,3,57,77,95,120,95,87,49,57,84,70,personal loan,17.16,0.11754215607644806,Full Consent,Porbandar,Low Risk
F6821,2025-01-17,34,Male,Graduate,Salaried,Married,2,0,Tier2,82738,0,24057,57826,7268,3064081,295323,636864,113201,7942848,30.7,16.0,0,9.6,65,1094,7,92,73,95,120,95,44,33,42,42,17,home loan,9.9,0.6837811034734226,Full Consent,Veraval,Very High Risk
E9346,2024-12-03,30,Male,Post Graduate,Salaried,Married,5,3,Tier2,60000,0,29059,30794,47237,1574199,186902,0,153665,4507941,10.5,12.0,0,7.2,47,1468,6,80,76,95,120,95,48,44,66,52,27,home loan,10.63,0.5600813235014677,Full Consent,Mehsana,High Risk
F5367,2025-01-22,28,Female,Post Graduate,Professional,Married,3,1,Tier1,60000,24674,27270,30474,15566,724112,0,0,180376,2000000,11.4,10.0,0,11.4,54,3194,4,83,92,95,120,95,68,72,83,85,65,education loan,11.9,0.20475870802822357,Full Consent,Bhavnagar,Medium Risk
A9338,2025-01-08,45,Male,Post Graduate,Salaried,Single,1,0,Tier1,104610,0,38414,65363,1805,5017185,757523,1368236,188926,8000000,19.9,27.0,0,6.9,32,2858,4,46,61,95,120,95,55,52,65,66,44,home loan,9.79,0.5064740526199161,Full Consent,Bhavnagar,High Risk
F9465,2025-05-23,37,Female,Professional,Business Owner,Married,2,0,Tier2,110680,0,32359,74748,9989,3092186,826109,1082634,244182,8000000,24.9,1.8,230508,3.5,32,8508,2,41,66,95,120,95,53,46,57,44,44,home loan,9.85,0.6168778787683046,Full Consent,Vapi,High Risk
E1206,2024-12-03,45,Male,Graduate,Professional,Single,1,0,Tier2,60000,0,26936,29724,2761,0,98503,0,104630,4320000,29.1,27.0,0,4.3,14,6089,5,48,47,95,120,87,45,11,44,40,11,business loan,13.8,0.6094773977042307,Full Consent,Morbi,High Risk
F6962,2025-02-17,51,Male,Post Graduate,Professional,Married,2,0,Metro,80977,20239,33208,47490,7161,4621615,477548,1753770,67255,5000000,32.6,32.5,0,4.8,10,20581,1,42,55,95,120,93,56,66,90,78,46,business loan,14.2,0.24636817963531346,Full Consent,Ahmedabad,Medium Risk
A6767,2024-07-19,48,Female,Graduate,Salaried,Married,3,1,Tier1,98881,0,26778,71609,4440,3483312,788158,2609278,174813,1000000,22.4,30.0,0,6.8,34,4953,3,66,50,95,120,95,94,95,90,95,90,gold loan,11.99,0.01,Full Consent,Rajkot,Low Risk
D9877,2024-12-07,28,Female,Post Graduate,Professional,Married,2,0,Tier2,78658,0,39541,35133,9416,1027869,0,0,145774,500000,23.7,5.3,0,9.7,43,2921,6,88,81,91,120,95,78,73,84,95,78,credit card,28.61,0.046295063191004376,Full Consent,Vapi,Low Risk
C3882,2024-06-17,47,Male,Post Graduate,Salaried,Single,1,0,Tier2,94170,0,50131,43486,2651,5440870,278574,2097880,278565,8000000,12.6,0.5,0,7.2,41,2140,3,70,61,89,120,95,26,25,38,20,20,home loan,9.57,0.92,Full Consent,Valsad,Very High Risk
D7821,2025-03-16,30,Male,Post Graduate,Salaried,Married,2,0,Tier2,88759,0,41546,45922,10914,1818488,287461,468216,21302,5000000,7.6,12.0,0,10.0,56,2928,4,93,85,95,120,95,67,67,65,67,56,business loan,13.69,0.3546733098580039,Full Consent,Mehsana,Medium Risk
D4531,2025-04-01,37,Female,Post Graduate,Professional,Married,3,1,Tier2,83310,41526,35682,46042,12925,4095460,239319,793279,298572,7997760,2.3,19.0,0,5.7,19,12352,3,52,71,95,120,95,10,29,36,16,5,home loan,10.07,0.8055138461774713,Full Consent,Navsari,Very High Risk
E6385,2024-09-12,35,Male,Graduate,Professional,Single,1,0,Tier2,75190,0,32985,39651,1170,2286661,193593,468955,239540,1500000,21.5,17.0,0,6.5,25,4761,3,51,45,95,120,95,92,95,90,95,90,auto loan,11.26,0.011318070977344281,Full Consent,Anand,Low Risk
A6737,2024-08-18,50,Female,Post Graduate,Professional,Married,5,3,Tier2,122949,77266,30365,90291,2445,4486560,427716,1888707,253444,8000000,29.6,32.0,0,2.2,10,16318,1,48,33,95,120,94,65,79,80,74,55,home loan,9.69,0.22262279238517887,Full Consent,Palanpur,Medium Risk
F3679,2025-03-23,34,Male,Post Graduate,Professional,Married,3,1,Tier1,69231,51248,35450,30913,7069,1218725,152575,0,89101,4984632,27.8,16.0,0,6.3,49,3096,5,73,80,95,120,95,54,39,58,53,21,business loan,14.68,0.5827187190942407,Full Consent,Jamnagar,High Risk
A4447,2025-02-15,32,Male,Professional,Professional,Married,3,1,Tier2,81303,64995,38900,41919,23267,2075782,629505,660617,231589,1500000,16.7,14.0,0,7.9,62,2596,4,79,91,95,120,95,84,95,90,95,90,auto loan,12.04,0.01,Full Consent,Godhra,Low Risk
A8691,2024-07-27,49,Female,Graduate,Professional,Married,3,1,Tier2,84795,62778,29934,51629,7681,5668538,218945,1291458,274458,1000000,30.9,31.0,0,6.8,36,4124,4,69,78,95,120,92,95,95,90,95,90,gold loan,11.46,0.021566930977512996,Full Consent,Vapi,Low Risk
D4865,2025-05-04,43,Male,Post Graduate,Professional,Married,5,3,Tier2,121947,46140,31449,86506,30324,4304581,886745,1657991,276046,8000000,22.9,25.0,0,6.0,25,8460,2,63,79,95,120,94,74,67,79,69,55,home loan,9.08,0.2212098737974984,Full Consent,Mehsana,Medium Risk
A2464,2025-04-03,28,Male,Professional,Professional,Married,3,1,Metro,122667,0,33895,87801,11133,0,241718,0,150000,500000,34.2,10.0,0,7.2,64,2023,6,81,93,95,120,95,87,77,53,90,88,credit card,29.87,0.01,Full Consent,Surat,Low Risk
C7070,2025-03-06,39,Female,Graduate,Business Owner,Married,3,1,Tier2,60000,36992,17235,40541,13309,1263858,105186,0,148866,5760000,21.5,21.0,122324,3.6,28,4103,5,62,58,95,120,95,48,40,51,37,6,home loan,10.29,0.6943152354531028,Full Consent,Navsari,Very High Risk
D4663,2025-03-26,45,Male,Graduate,Business Owner,Married,3,1,Tier2,83439,61961,50179,32487,5087,4712554,328649,1149402,126360,8000000,34.4,27.0,177349,5.0,32,2930,2,72,58,95,120,95,38,24,49,46,5,home loan,10.41,0.7035810022479216,Full Consent,Godhra,Very High Risk
A2072,2024-06-28,49,Male,Graduate,Salaried,Married,4,2,Tier2,121081,0,63989,54007,2267,5500205,400695,3164853,272442,5000000,23.4,31.0,0,3.4,37,6155,3,72,49,95,120,95,69,79,87,95,66,business loan,13.88,0.08678860670782317,Full Consent,Godhra,Low Risk
B3634,2025-06-07,63,Female,Post Graduate,Professional,Married,3,1,Tier2,101694,37783,28774,70808,15541,5284508,555276,4682091,273713,912378,18.2,35.4,0,2.1,10,16559,1,21,34,95,120,87,90,95,90,95,90,gold loan,11.69,0.01,Full Consent,Morbi,Low Risk
D9518,2024-08-25,28,Male,Post Graduate,Professional,Married,3,1,Tier2,76894,29308,38337,38522,9923,1024666,164895,876415,168678,1500000,0.5,10.0,0,11.9,71,2287,6,73,80,95,120,95,51,95,63,70,73,auto loan,11.27,0.2118466856393535,Full Consent,Morbi,Medium Risk
B3548,2025-01-26,48,Female,Professional,Professional,Married,4,2,Tier2,60000,20668,13214,42825,21156,1647792,0,0,118512,1425361,22.4,30.0,0,7.6,33,1815,4,46,63,95,120,93,95,92,90,95,90,business loan,14.66,0.03480404180868943,Full Consent,Valsad,Low Risk
E4377,2024-06-20,58,Male,Post Graduate,Salaried,Married,3,1,Tier2,116434,41211,68032,46273,16645,4911895,873817,4013926,335306,8000000,22.2,31.9,0,1.7,19,17975,2,54,50,95,120,82,59,56,78,68,44,home loan,10.21,0.38611720234618585,Full Consent,Bharuch,Medium Risk
B3471,2024-11-18,31,Female,Post Graduate,Salaried,Married,2,0,Tier2,62047,31390,29502,32380,10728,1156532,98560,0,176156,343544,34.2,6.8,0,8.7,62,2538,4,71,89,94,120,95,78,95,84,95,76,personal loan,17.81,0.05170474675619774,Full Consent,Junagadh,Low Risk
A2066,2024-10-08,45,Male,Post Graduate,Professional,Married,4,2,Metro,92688,60084,32785,56585,5159,3444354,282881,1219640,85333,7499614,29.2,27.0,0,6.7,33,3206,4,73,79,95,120,95,62,47,62,62,33,home loan,9.4,0.3918231900463821,Full Consent,Surat,Medium Risk
E5173,2024-10-22,50,Male,Graduate,Salaried,Married,5,3,Tier1,100665,0,42139,57289,36034,6547116,209397,1227772,224958,8000000,19.9,6.7,0,2.1,11,11064,3,25,47,95,120,95,55,49,80,56,27,home loan,10.1,0.4886894058530422,Full Consent,Jamnagar,High Risk
C4521,2025-02-27,47,Male,Graduate,Professional,Married,5,3,Tier2,95977,69557,53224,41158,17329,4070945,269871,1425583,213724,8000000,21.5,29.0,0,7.1,34,3691,5,74,75,95,120,95,46,42,77,57,25,home loan,9.82,0.7011444476631438,Full Consent,Porbandar,Very High Risk
B6992,2025-04-08,28,Male,Graduate,Salaried,Married,5,3,Tier1,119284,87614,57299,59247,23660,2357641,173533,0,337718,2000000,24.8,10.0,0,10.5,60,3079,6,74,77,95,120,95,79,95,84,95,90,education loan,12.41,0.0968267042232083,Full Consent,Jamnagar,Low Risk
B1208,2024-11-05,36,Male,Professional,Salaried,Married,2,0,Tier2,86389,57424,37561,46189,7148,3962528,388704,1018822,270969,5278064,12.1,2.3,0,4.1,26,5194,4,58,53,95,120,95,48,46,56,49,53,home loan,9.87,0.5410372965705279,Full Consent,Vapi,High Risk
A3790,2024-07-24,33,Male,Post Graduate,Professional,Married,5,3,Tier2,60225,0,20902,36293,25128,0,0,0,274626,5781600,26.4,1.8,0,7.2,77,1032,6,94,76,90,120,95,32,10,5,5,5,home loan,10.48,0.8036039319490583,Full Consent,Junagadh,Very High Risk
E2199,2024-12-31,46,Male,Post Graduate,Business Owner,Single,1,0,Metro,128011,0,59564,67572,2585,4047416,484163,2580668,170840,8000000,29.0,23.3,276825,7.9,35,5398,4,65,50,95,120,91,59,80,80,78,56,home loan,10.29,0.23512431200931125,Full Consent,Surat,Medium Risk
B5381,2025-06-01,49,Male,Graduate,Salaried,Married,2,0,Tier2,107739,0,56153,49765,6792,4090410,859656,2783941,197978,902019,0.5,5.9,0,6.3,26,6898,4,48,78,95,120,72,49,95,72,81,77,gold loan,12.24,0.09392226640225726,Full Consent,Navsari,Low Risk
B6313,2025-07-15,33,Male,Post Graduate,Professional,Single,1,0,Tier2,71950,0,19053,52700,1782,0,114862,0,94640,1220203,26.1,5.1,0,10.3,82,846,7,84,78,95,120,95,87,63,58,95,81,personal loan,17.75,0.1580400294348232,Full Consent,Navsari,Low Risk
E6166,2024-07-09,43,Female,Post Graduate,Salaried,Married,4,2,Tier2,60000,0,23153,34768,21507,0,274738,0,170014,2000000,26.6,25.0,0,5.9,32,3611,3,74,70,94,120,95,70,52,69,77,55,personal loan,18.74,0.12374242070726105,Full Consent,Valsad,Low Risk
